FQDN System Name,IP Address,Network,Network Range,Broadcast Address,VLAN,VLAN number,Physical System,Logical Net,Logical Interface,Network Scope,TOR switch used
gadgetz4.web.z2.tdn.hzl.ilx.com,10.53.20.20/24,WEB,10.53.20.0/24,10.53.20.255,HZLP-93COLO-TDNM1-A-JUMBO-1,2210,jetsonz2,WEB,WEBHYPER,Business Site,YES
gadgetz4.webfs.z2.tdn.hzl.ilx.com,10.181.195.19/24,WEBFS,10.181.195.0/24,10.181.195.255,HZLP-93COLO-TDNM1-A-WEBFS-1,2211,jetsonz2,WEB,WEBHYPER,Business Site,YES
globez2.a.livetkr.z2.tdn.hzl.ilx.com,10.179.4.84/27,A.LIVETKR,10.179.4.64/27,10.179.4.95,HZL-COLO-MCE1-LIVETKR1-1,1511,tdneodz2,TKR,TKR,Business Site,
globez2.a.sitetkr.z2.tdn.hzl.ilx.com,10.179.4.114/27,A.SITETKR,10.179.4.96/27,10.179.4.127,HZL-COLO-MCE1-UP4TKR1-2,1512,tdneodz2,TKR,TKR,Business Site,
globez2.b.livetkr.z2.tdn.hzl.ilx.com,10.179.4.148/27,B.LIVETKR,10.179.4.128/27,10.179.4.159,HZL-COLO-MCE1-LIVETKR2-1,1611,tdneodz2,TKR,TKR,Business Site,
globez2.b.sitetkr.z2.tdn.hzl.ilx.com,10.179.4.178/27,B.SITETKR,10.179.4.160/27,10.179.4.191,HZL-COLO-MCE1-UP4TKR2-2,1612,tdneodz2,TKR,TKR,Business Site,
globez2.filer.z2.tdn.hzl.ilx.com,10.181.194.55/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,tdneodz2,PROD,PRODHYPER,Business Site,YES
globez2.idcm.z2.tdn.hzl.ilx.com,10.179.0.91/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,tdneodz2,PROD,PRODHYPER,Business Site,YES
globez2.main.z2.tdn.hzl.ilx.com,10.181.192.91/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,tdneodz2,PROD,PRODHYPER,Business Site,YES
globez2.out.z2.tdn.hzl.ilx.com,10.53.22.91/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,tdneodz2,PROD,PRODHYPER,Business Site,YES
gpfunz2.a.sitetkr.z2.tdn.hzl.ilx.com,10.179.5.98/27,A.SITETKR,10.179.5.96/27,10.179.5.127,HZL-COLO-MCE1-UP4TKR1-2,1512,pfunz2,TKR,TKR,Business Site,
gpfunz2.b.sitetkr.z2.tdn.hzl.ilx.com,10.179.5.162/27,B.SITETKR,10.179.5.160/27,10.179.5.191,HZL-COLO-MCE1-UP4TKR2-2,1612,pfunz2,TKR,TKR,Business Site,
gpfunz2.filer.z2.tdn.hzl.ilx.com,10.181.194.62/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,pfunz2,PROD,PRODHYPER,Business Site,YES
gpfunz2.fundist1.z2.tdn.hzl.ilx.com,162.8.205.30/27,FUNDIST1,162.8.205.0/27,162.8.205.31,HZL-COLO-MCE1-FUNDIST1-1,258,pfunz2,FUNDIST,FUNDIST,Business Product,
gpfunz2.fundist2.z2.tdn.hzl.ilx.com,162.8.253.227/27,FUNDIST2,162.8.253.224/27,162.8.253.255,HZL-COLO-MCE1-FUNDIST2-1,13,pfunz2,FUNDIST,FUNDIST,Business Product,
gpfunz2.funmcast1.z2.tdn.hzl.ilx.com,162.8.200.24/27,FUNMCAST1,162.8.200.0/27,162.8.200.31,HZL-COLO-MCE1-FUNMCAST1-1,258,pfunz2,FUNDIST,FUNDIST,Business Product,
